Unnamed: 0,data,label
0,김용호 경희대 평화 복지 대학원 특 임 교수 개천절 집회 풍경 시민 자율 먹칠 외교 남편 상징 통제 감시 자발 유도 격리 방식 사생활 배려 창의 민주 추구 정부 개천절 집회 이상 경찰차 경찰 동원 광화문 일대 철통 모습 명박산성 재인 산성 비난 지하철역 폐쇄 시민 검문 분위기 조성 정부 확산 방지 이유 개인 자유 프라이버시 침해 독재 비판 대한민국 민주주의 현실 외신 보도 보니 창피 공권력 동원 시민 이동 원천 바람 시민사회 자율 참여 성공 정부 자랑 부정 정부 재인 산성 정치 억압 통제 중국 공산 정권 차이 과잉 통제 우파 좌파 집권 세력 이분법 사고 우려 그동안 집권 세력 운동권 사고 우파 공존 타도 대상 사회 정치 양극 민주주의 다원주의 사고 아래 견해 차이 인정 집권 세력 생각 우파 적 폐 우파 발목 개혁 과거 우파 잘못 정책 국정 강변 관점 정부 전현직 법무부 장관 가족 아들 비리 포함 국정 난맥상 광화문광장 비판 우파 세력 수단 방법 탄압 추석 연휴 일 외교부 여행 주의보 여행 취소 연기 권고 주무 장관 남편 무시 미국 사건 정부 체제 허상 말 장관 배우자 설득 국민 가이드라인 말 국민 정부 추석 고향 방문 자제 캠페인 정부 정책 의구심 관광지 고향 이중잣대 관광지 청정 지역 고향 창궐 지역 말 인가 이제 정부 기존 체제 전면 재검토 마스크 큰일 격리 가족 이웃 감염 겁 주기 공포 분위기 조성 효과 사태 장기 인해 국민 피로감 불만 증폭 위기 극복 장기전 정치 경제 사회 고통 종합 해결 초기 성공 다 초기 단계 강제 검사 완전 격리 사태 장기 현실 효과 장담 양성 판정 후 가족 접촉 자와 주간 강제 격리 증상 사람 검사 자체 불신 강제 격리 불만 토로 사실 감염병 전문가 체내 바이러스 찌꺼기 양성 반응 경우 감염 위험 본인 접촉 자 짜증 주간 사회 격리 고통 거주지 동선 노출 프라이버시 침해 주위 사람 왕따 앞으로 정부 주도 통제 감시 위주 체제 시민 자발 책임 기반 체제 전환 나가야 당국 현장 목소리 일요일 이낙연 더불어민주당 대표 관련 현장 간담회 사회 단절 극복 장기 방안 마련 참석자 요청 긍정 화답 출발 정부 현행 체제 오류 태도 정부 장기 종합 관점 정책 개발 때 우파 집회 중단 논리 성공,0
1,잉글랜드 축구 대표 팀 태미 에이브 러 햄 첼시 산초 도르트문트 신종 감염증 지침 위반 경찰 조사 오전 한국 시간 영국 매체 스카이 스포츠 런던 경찰 관련 사안 소급 조사 방침 에이브 러 햄 산초 영국 런던 에이브 러 햄 자택 생일 파티 자리 지인 가족 참석 잉글랜드 지역 확산 방지 사회 모임 이내 제한 위반 파운드 벌금 부과 다 경찰 지침 위반 발생 경찰 개입 시민 규칙 설명 이행 요청 강제력 동원 최후 수단 행사 뒤 위반 사실 경찰 현장 안내 자리 참석 사람 일반 절차 문제 해결 사건 조사 강제력 행사 판단 설명 다 잉글랜드 축구협회 에이브 러 햄 산초 조사 계획 잉글랜드 축구협회 선수 지침 경위 조사 예방 대표 팀 소집 연기 잉글랜드 대표 팀 웨일스 평가 전 뒤 벨기에 덴마크 유럽 축구 연맹 네이션 스리 경기 진행 에이브 러 햄 산초 웨일스 전 출전 지난달 메이슨 그린우드 맨체스터 유나이티드 필 포드 맨체스터 시티 이 지침 퇴출 허종,0
2,추석 연휴 인구이동 확산 기폭제 우려 제기 민속놀이 포함 규모 모임 행사 고 위험 시설 운영 중단 추석 연휴 이틀 앞 가운데 국내 신종 감염증 확산 수도권 집단 감염 이후 지난달 하순 신규 확진 최근 차례 자릿수 지하철 역사 요양 시설 어린이집 일상 곳곳 산발 집단 감염 여파 안팎 등락 불안 상황 이다 인구이동 추석 연휴 고리 확산 불안감 있다 당국 추석 연휴 확산 기폭제 우려 속 총력 있다 일 중앙 대책 본부 방 대본 전날 신규 확진 일명 이틀 연속 자릿수 유지 확진 숫자 직전 대비 육박 지역 사회 감염 추정 지역 발생 확진 증가 흐름 지역 발생 확진 사흘 명명 감소 지난달 일명 이후 아래 전날 기록 하루 증가 주말 하루 검사 건수 직전 일 감소 확진 당국 촉각 주말 휴일 민간 의료 기관 검사 건수 신규 확진 감소 추세 신규 확진 수도권 곳곳 산발 집단 감염 영향 다실 서울 도봉구 예 마루 데이 어 센터 누적 관악구 모 스포 렉스 동대문구 성경 모임 누적 관련 사례 확진 추가 서울 지하철 호선 경부선 환승역 신도림역 환경 미 화원 포함 신도림역 사명 경북 포항시 어르신 모임 방 집단 감염 사례 발생 상황 정부 추석 연휴 최대 위험 요인 대응 총력 방침 연휴 기간 포함 이날 다음 달 주간 추석 특별 기간 정해 그간 전국 실시 사회 거리 두기 단계 핵심 조처 유지 추석 연휴 마을 잔치 지역 축제 민속놀이 실내 인 실외 인 이하 인원수 제한 진행 명절 인기 씨름 포함 야구 축구 스포츠 행사 관중 수도권 수도권 현재 유행 상황 위험 요인 종합 고려 맞춤 조처 적용 수도권 일반 음식점 휴게 음식점 제과점 커피 전문점 포함 가운데 매장 좌석 업소 테이블 간격 이상 사람 예상 단계 때 수위 이다 만약 좌석 칸 테이블 테이블 칸막이 설치 좌석 이하 경우 의무 사항 권고 조치 수도권 영화관 공연장 좌석 칸 놀이공원 워터파크 사전 예약 시스템 이용 인원 절반 수준 제한 마스크 착용 출입 명부 관리 수칙 정부 수도권 소재 클럽 룸살롱 유흥 주점 콜라텍 주점 감성 주점 헌팅 포차 노래 연습장 실내 공연장 실내 집단 운동 류 뷔페 방문 판매 직접 판매 홍 보관 대형 학원 이상 위험 시설 업종 집합 조처 다음 달 주간 유지 수도권 직접 판매 홍보 관 주간 집합 계속 유흥 주점 콜라텍 주점 감성 주점 헌팅 포차 업종 이날 다음 달 주간 영업 다 거리 두기 단계 때 수칙 완화 곳도 단계 상황 운영 중단 실내 국공립 시설 문 이용 인원 평시 대비 절반 수준 그간 방 음식 판매 섭취,0
3,재무 보건 회의 강 조홍 남 부총리 기획 재정부장 관 신종 감염증 대응 관련 조치 바탕 적정 경제 활동 유지 중점 말 홍 부총리 재무 보건 장관 합동 회의 관련 국제 공조 재원 공조 재원 공조 이번 회의 대응 관련 공동 선언문 채택 백신 특정 국가 독점 공평 보급 한국 주장 반영 홍 부총리 팬데믹 세계 유행 국제 공조 강조 보건 대응 필요 재원 조달 협력 제도 구축 지식 기술 공유 역량 강화 창조 획기적 공조 방안 모색 강조 홍 부총리 포스트 시대 대응 준비 한국판 뉴딜 정책 소개 이정우,0
4,박 왕자 피격 당시 다음날 담화 발표 북한 서해 남 공무원 사살 뒤 사건 오전 침묵 있다 조선중앙 통신 노동신문 조선중앙방송 대외 선전 매체 북한 매체 이날 남 공무원 사살 사건 언급 전날 청와대 북한 규탄 책임자 처벌 요구 무시 답 모양새 다 노동신문 신종 감염증 유입 차단 장벽 강조 기사 이다 신문 부문 일군 책임 제목 기사 부문 인민 보위 조국 보위 초선 일군 간부 최대 각성 분발 장벽 철통 독려 기사 강 하천 방 역학 감시 강화 물 강 유역 물체 오물 방 역학 요구 처리 관심 강 하천 감시 초소 증강 책임 일군 감시 역량 보강 소개 대응 금강산 발생 박 왕자 피격 사건 당시 정반대 모습 이다 북한 박 왕자 피격 사건 발생 다음날 명승지 종합 개발 지도국 대변인 명의 담화 남조선 관광객 군인 총 사망 사고 발생 유감 생각 있다 금강산 지역 군부대 대변인 다음 달인 담화 전투 근무 군인 날 새벽 시계 제한 침입 대상 남자 여자 인지 식별 조건 강조 당시 북한 신참 초병 근무 경계 수칙 우발 총격 사건 있다 이 당시 북한 사건 책임 남 사고 주장 수습 속내 이번 실종 공무원 식별 후 시간 뒤 해군 계통 상부 지시 사살 시신 결 있다 이 북한 이번 사건 관련 묵묵부답 고민 끝 입장 한국 정부 이번 사건 규탄 북한 책임 강조 북한 방식 입장 비무장 민간인 총격 입장 국제 사회 인권 경시 책임 상황 이다,0
5,발표 연기 통보 일정 조정 우리나라 국민 신종 감염증 정도 면역 형성 가늠 항체 조사 결과 발표 일 중앙 대책 본부 방 대본 국민 대상 조사 결과 발표 공지 발표 이날 정례 브리핑 연기 통보 다방 대본 문자 금일 발표 예정 항체 보유 조사 결과 전문가 외부 검토 의견 취합 발표 일정 조정 토요일 발표 예정 발표 연기 이유 구체 확인 항체 검사 특정 감염병 항체 형성 확인 검사 바이러스 감염병 뒤 몸속 바이러스 무력 항체 형성 항체 검사 해보면 자신 감염병 환자 포함 전체 환가 규모 가늠 있다 당국 일 실시 항체 조사 국민 가운데 항체 보유 확진 사실 일반 국민 조사 때 규모 유행 대구 이번 조사 포함 항체 보유 있다 당국 실질 항체 보유 파악 집단 감염 지역 대구 경산 일반인 의료진 대상 항체 추가 조사 지역 항체 보유 군 입소 장정 항체 가 확인 최 규,0
6,당국 이달 신종 감염증 항체 치료제 대량 생산 계획 다 권준 중앙 대책 본부 방 대본 부본부장 정례 브리핑 현재 식품 의약품 안전 처 임상 상 상 심사 상업 항체 치료제 대량 생산 계획 말 부본부장 식품 의약품 안전 처 국내 임상 상 승인 뒤 상 결과 완료 분석 일 영국 임상 상 승인 환자 모집 후 임상시험 진행 설명 국내 경 증 환자 대상 임상 상도 일 승인 환자 모집 부연 항체 치료제 바이러스 무력 항체 자체 이용 약물 정부 내년 개발 목표 하반기 임상시험 추진 최 규,0
7,필라델피아 시장 실내 영업 후 식당 방문 하원 의장 영업 중단 미용실 방문 미국 정치인 시민 신종 감염증 수칙 주문 자신 남 불 로맨스 남이 불륜 태도 비판 있다 일 짐 케니 펜실베이니아주 필라델피아 시장 최근 관내 메릴랜드 주 체사 피크 식당 밥 모습 필라델피아 여파 식당 실내 영업 상태 현지 식당 운영 마크 베 트리 문제 인스타그램 공유 필라델피아 에선 식당 고군분투 때 메릴랜드 마스크 사회 거리 식사 실내 식사 위험 말 그간 기자회견 내용 스스로 적용 감사 말 케니 시장 온라인 자신 비판 거세 지자 지난달 해당 식당 방문 사실 인정 사과 다 낸시 펠로시 미국 하원 의장 당국 지침 미용실 방문 모습 포착 빈축 사고 폭스 뉴스 하원 의장 지난달 샌프란시스코 미용실 방문 헤어 드라이 서비스 보도 당시 감시 카메라 영상 하원 의장 미용실 안 머리 마스크 착용 샌프란시스코시 확산 방지 미용실 폐쇄 상태 당국 이날 미용실 운영 재개 야외 서비스 허가 해당 미용실 주인 에리카 카이우 당시 소속 스타일 리스트 하원 의장 서비스 예약 사실 뺨 기분 손님 미용실 사람 자신 볼일 생각 토로 하원 의장 당국 손님 허가 업소 해명 정유정,0
8,확진 동선 접촉 국회 최근 동안 출입 국민 힘 당직자 신종 감염증 확진 판정 차례 일부 건물 폐쇄 국회 특성 회의 대면 취재 탓 확진 발생 접촉 오전 예정 주호영 국민 힘 원내대표 교섭단체 대표 연설 상임위원회 회의 정당 회의 오후 연기 전날 국회 출입 확진 판정 조치 국회 지난달 더불어민주당 최고 위원 회의 취재 일 국민 힘 당직자 확진 판정 폐쇄 있다 국회 확진 경우 동선 범위 이번 확진 판정 출입 동선 국회 소통 본관 의원 회관 광범위 접촉 정치인 회의장 기자회견 장이 곳 위치 하루 이상 시간 필요 국회 상주 인원 접촉 대상자 사실 비대 업무 이유 하나로 전국 확산 정당 회의 소수 인원 출입 제한 정치인 당직자 취재 필수 인원 국회 정부 강화 거리 두기 단계 조치 연장 의원 회관 세미나실 예약 이용 제한 외부인 청사 출입 제한 조치 연장 방침 확진 자와 접촉 한정애 더불어민주당 정책위 의장 홍 정민 민주당 원내 대변인 선제 검사 음성 판정 윤명진,0
9,경기 침 숙소 이탈 구단 식사 안 류중일 감독 확진 선수 염경엽 감독 전화 안부 한화 군 신종 감염증 확진 프로야 구계 인천 행복 드림 구장 신한은행 리그 류중일 감독 이날 맞대결 염경엽 감독 전화 염 감독 컴백 전화 안부 류 감독 확진 선수 대신 염 감독 전화 응원 염 감독 지척 대면 이유 설명 지난달 한화 재활 군 투수 신정락 국내 프로 스포츠 선수 처음 확진 판정 일 한화 성군 소속 투수 양성 반응 퓨처스리그 군 중단 평소 류 감독 염 감독 팀 선수단 아웃 마스크 착용 선수 하이파이브 대신 팔꿈치 접촉 자제 이날 전국 구장 마스크 경기 선수 눈 곳 수칙 두산 군 투수 중순 원정 경기 뒤 술 사실 벌금 징계 경기 침 선수 군 군 통제 군 관리 감독 소홀 팀 선수 자유 접촉 지난달 의 군 선수단 폭행 사실 조사 과정 선수 숙소 이탈 사실 신정락 퓨처스리그 경기 구단 버스 선수 식사 한화 구단 한국야구위원회 지침 신정락 지난달 오전 검사 이때 한화 보고 발열 유 증상 선수 경우 구단 다 프로 야구 탓 개막 그동안 진행 확진 상황 확진 리그 중단 그동안 별일 방심 순간 감염자 증가 곳 수칙 행동 시기 정세영,0
